"filename", "language", "JSON with Comments", "TypeScript", "JSON", "TypeScript JSX", "PostCSS", "XML", "HTML", "JavaScript", "Properties", "comment", "blank", "total"
"d:\vscode\js\frontend mentor\product-list-with-cart\client\src\components\PageRange.tsx", "TypeScript JSX", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 9, 83
"d:\vscode\js\frontend mentor\product-list-with-cart\client\src\components\ProductButton.tsx", "TypeScript JSX", 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 7, 76
"d:\vscode\js\frontend mentor\product-list-with-cart\client\src\components\ProductCard.tsx", "TypeScript JSX", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 4, 59
"d:\vscode\js\frontend mentor\product-list-with-cart\client\src\components\ProductInfo.tsx", "TypeScript JSX", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 13, 75
"d:\vscode\js\frontend mentor\product-list-with-cart\client\src\components\ThemeDropDown.tsx", "TypeScript JSX", 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 5, 76
"d:\vscode\js\frontend mentor\product-list-with-cart\client\src\components\TotalProducts.tsx", "TypeScript JSX", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 4, 17
"d:\vscode\js\frontend mentor\product-list-with-cart\client\src\components\base\AnyList.tsx", "TypeScript JSX", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 5, 34
"d:\vscode\js\frontend mentor\product-list-with-cart\client\src\components\base\Button.tsx", "TypeScript JSX", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 4, 67
"d:\vscode\js\frontend mentor\product-list-with-cart\client\src\components\base\Conditional.tsx", "TypeScript JSX", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 4, 14
"d:\vscode\js\frontend mentor\product-list-with-cart\client\src\components\base\Container.tsx", "TypeScript JSX", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 4, 60
"d:\vscode\js\frontend mentor\product-list-with-cart\client\src\components\base\DropDown.tsx", "TypeScript JSX", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 4, 34
"d:\vscode\js\frontend mentor\product-list-with-cart\client\src\components\base\List.tsx", "TypeScript JSX", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 5, 32
"d:\vscode\js\frontend mentor\product-list-with-cart\client\src\components\base\Loading.tsx", "TypeScript JSX", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 5, 16
"d:\vscode\js\frontend mentor\product-list-with-cart\client\src\contexts\InfoContext.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15
"d:\vscode\js\frontend mentor\product-list-with-cart\client\src\hooks\usePages.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"d:\vscode\js\frontend mentor\product-list-with-cart\client\src\hooks\useVirtualizer.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 9, 40
"d:\vscode\js\frontend mentor\product-list-with-cart\client\src\main.tsx", "TypeScript JSX", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"d:\vscode\js\frontend mentor\product-list-with-cart\client\src\pages\Login.tsx", "TypeScript JSX", 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 10, 106
"d:\vscode\js\frontend mentor\product-list-with-cart\client\src\pages\Main.tsx", "TypeScript JSX", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"d:\vscode\js\frontend mentor\product-list-with-cart\client\src\pages\Registration.tsx", "TypeScript JSX", 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 10, 129
"d:\vscode\js\frontend mentor\product-list-with-cart\client\src\shared\env.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
